target_item_title,target_item_id,target_item_type,target_item_url,using_item_title,using_item_id,using_item_type,using_item_owner,using_item_access,using_item_url,match_type,matched_value,match_confidence,dependency_level
WardProfiles2016,1e148957383c4703b0649b5ab20ae888,Feature Service,https://services.arcgis.com/rYz782eMbySr2srL/arcgis/rest/services/WardProfiles2016/FeatureServer,Ward Profile Map - WARD 14,d00d02d4520d4c5a9fc18893c48e6858,Web Map,SSS_Coordinator,public,https://spatialsolutions.maps.arcgis.com/home/item.html?id=d00d02d4520d4c5a9fc18893c48e6858,item_id,1e148957383c4703b0649b5ab20ae888,high,direct
WardProfiles2016,1e148957383c4703b0649b5ab20ae888,Feature Service,https://services.arcgis.com/rYz782eMbySr2srL/arcgis/rest/services/WardProfiles2016/FeatureServer,Ward Profile Map - WARD 8,0ac63f7f00b546ae9a8504f511cc905d,Web Map,SSS_Coordinator,public,https://spatialsolutions.maps.arcgis.com/home/item.html?id=0ac63f7f00b546ae9a8504f511cc905d,item_id,1e148957383c4703b0649b5ab20ae888,high,direct
